income,sex,eth,focc,fedu,mocc,medu,weights
9598.854633,1,1,9,5,10,6,736.18701
7088.950333,2,1,9,1,9,8,29.711866
3199.407133,1,1,10,1,9,3,1444.4973
12486.32873,1,1,10,1,10,0,174.89586
1737.063933,1,1,10,1,10,0,296.94742
3574.544833,1,1,10,9,10,8,540.82635
5676.625133,1,3,9,3,9,0,123.70712
3342.629833,1,3,7,11,10,5,196.42786
25020.44573,1,4,5,9,5,12,799.88257
2247.434033,1,1,10,1,10,0,209.63716
4363.059733,1,1,10,1,10,0,420.44269
8620.757033,1,1,8,1,9,0,93.8256
8557.834133,1,1,7,9,9,4,327.54324
7668.737933,1,1,8,10,9,10,104.47703
1826.262033,2,1,9,9,10,6,145.31085
2450.648833,1,1,8,1,10,11,399.10138
7395.792133,1,1,8,1,10,0,241.78625
9318.903533,1,1,9,3,10,2,451.04141
1558.548233,2,1,10,8,7,0,765.68604
2053.717233,2,1,10,1,10,5,327.66171
18238.71473,2,1,10,2,10,0,203.97586
19540.55473,1,1,7,1,10,0,152.15706
24928.57273,2,1,10,1,10,0,342.98294
4288.130033,1,3,9,1,10,0,262.75598
6509.162733,2,1,10,1,10,10,539.62531
19219.89273,1,1,7,8,9,5,284.59814
5792.478733,1,1,7,1,10,0,292.41745
3467.507233,1,1,10,1,10,0,690.34314
4973.475733,1,1,10,1,9,0,254.68239
5527.983533,1,1,10,1,10,0,687.91028
13332.81873,2,2,4,9,9,5,866.09033
9693.535333,2,1,10,1,10,0,47.500423
8209.487433,1,1,9,6,9,5,2496.927
14034.64073,1,3,7,1,10,0,47.831089
15116.78073,1,4,10,12,10,0,917.11835
2013.578033,1,1,10,1,10,0,203.01865
14313.99773,2,1,10,1,10,0,43.638271
16288.90373,1,1,7,11,9,10,1026.3918
1732.272733,1,1,8,1,10,0,473.46054
5704.308233,2,1,10,5,10,11,202.49147
11015.38773,1,1,10,1,2,8,1274.9149
3253.431833,1,3,9,1,9,0,45.622749
22698.61973,1,3,5,11,2,12,47.323814
4456.395233,1,3,10,1,9,0,88.900322
4734.120333,1,1,7,9,10,0,248.44592
635.4672726,1,1,10,1,5,0,235.10007
2165.214733,1,1,10,1,10,0,387.13705
1870.861133,1,1,5,7,10,7,524.25995
2183.054333,1,1,7,9,10,3,7987.9087
2361.450633,2,1,8,9,10,9,1312.3879
2270.610033,1,1,10,1,10,0,196.79915
13985.18573,2,1,8,1,9,0,863.5896
1380.271533,2,1,5,9,2,8,437.77435
5642.586133,2,1,5,1,9,0,142.27966
8805.084133,1,1,10,1,10,0,239.09062
3969.076333,2,1,7,3,10,0,238.35213
1966.810733,1,1,9,5,9,3,133.33627
9404.740433,2,1,7,1,10,0,514.39276
8432.273633,1,1,10,1,10,0,40.83828
2361.450633,1,1,10,1,10,0,1107.9258
2629.045133,1,1,10,1,10,0,441.57758
4687.972333,2,1,10,1,10,0,299.28961
3521.026033,1,3,9,10,9,7,182.49004
1514.536133,1,1,10,11,10,7,257.40054
3458.587333,2,1,10,1,10,0,1615.0435
5728.166633,1,1,10,1,10,0,144.6205
909.9628126,1,1,8,5,10,10,352.46109
3057.195933,1,1,8,1,10,4,133.55766
10807.54073,2,1,10,1,9,0,394.89709
5953.432333,1,1,10,1,10,4,345.79044
1469.469533,1,1,3,1,10,0,74.881371
13040.85773,1,1,8,11,10,6,642.53638
8205.413233,1,1,5,1,9,0,149.99135
3727.965733,1,1,10,1,10,0,201.73325
5554.742833,1,3,9,1,9,0,58.886913
6570.114933,2,1,3,9,10,10,82.776787
6464.563633,1,1,10,1,10,0,215.88185
6375.365433,2,1,10,1,9,0,1465.6537
1879.780933,1,1,10,9,2,6,60.478222
3998.236033,1,1,8,7,9,7,930.82825
2593.365633,1,1,10,1,10,0,176.33952
1291.073433,1,1,8,12,9,11,870.24664
1781.663033,2,1,8,1,9,2,893.05145
6346.338033,1,1,9,1,9,0,161.75255
1153.441733,1,1,10,1,10,0,226.62361
3092.875133,1,1,9,7,10,8,139.12903
10924.46873,2,4,2,12,2,12,390.04413
14028.56373,1,1,10,8,10,7,255.9904
9044.401533,2,3,7,1,10,0,347.845
5801.524133,1,1,8,3,9,6,198.38611
2031.576633,1,1,10,1,10,0,256.24081
3567.730933,1,1,7,1,10,0,45.980366
7534.941133,1,1,9,1,10,5,320.62216
5839.284833,2,1,10,1,10,0,436.71246
3791.448433,2,1,8,7,10,9,4751.6235
1166.195933,1,1,10,1,10,0,661.43652
10549.83673,2,2,9,3,10,0,69.209099
934.2809326,2,1,8,1,9,0,2020.0193
1424.870533,1,1,10,1,9,0,506.34293
11013.66673,2,3,3,9,9,6,27.729445
1103.757333,1,1,10,1,10,0,113.82362
1023.479033,2,1,8,1,10,5,313.79892
11156.38373,1,1,10,1,10,0,1665.494
6009.653533,1,1,10,1,9,10,1766.7242
20468.66573,1,1,10,1,10,0,106.5396
10184.08407,2,1,8,12,10,8,144.45964
27105.60773,1,1,10,1,10,0,282.68958
7190.636433,1,1,8,9,9,0,1343.1698
5773.061733,1,1,10,1,10,0,153.8996
3788.620533,2,2,7,3,10,10,451.51404
2361.450633,2,1,10,4,9,7,239.02312
1950.655033,1,1,10,1,10,0,527.0155
3183.008233,1,1,9,1,9,1,235.73967
2482.595833,1,1,10,1,10,0,379.3844
6950.408833,1,1,7,6,10,7,318.03458
15384.37373,1,2,10,1,10,0,596.50476
18982.0314,1,4,9,11,10,10,941.45697
3030.436433,1,1,9,1,10,0,753.60834
3814.806333,1,1,9,7,10,4,158.58344
8634.754033,1,1,2,9,9,8,73.91259
5037.393733,2,1,8,12,8,12,58.607857
4725.200333,1,1,10,1,10,0,366.7485
2611.205533,2,3,9,1,10,0,139.47937
6412.954233,2,1,10,1,10,0,601.70667
5065.155933,1,1,10,1,10,0,22.597422
2068.880833,2,1,9,1,10,0,1669.8427
7106.790233,2,1,7,1,10,0,1039.3292
3833.219433,1,1,7,1,10,0,121.52872
3788.620533,2,1,10,1,9,0,1155.2152
6286.167633,2,1,8,9,10,9,228.94946
14206.95873,2,1,10,1,10,0,359.93051
18227.20173,1,3,7,7,9,7,312.84311
15116.78073,1,1,7,1,10,0,553.18384
11490.93073,2,1,8,11,5,11,308.08566
3342.629833,2,1,8,9,9,8,920.99707
