outcome,income,sex,eth,focc,fedu,mocc,medu,weights
3,4973.22523262842,2,1,9,1,9,0,355.80408
3,8944.27063262842,1,1,9,1,9,8,468.35513
3,3611.93713262842,2,1,9,1,9,0,509.99817
3,5572.58273262842,1,1,7,1,9,0,911.41113
3,2495.24773262842,2,1,8,8,10,0,536.59808
3,9729.21403262842,1,1,8,1,9,0,52.608044
3,14554.83173262842,1,1,10,6,10,8,165.23172
4,16603.415399295085,2,4,7,9,4,12,181.69302
3,3003.67713262842,1,1,8,6,9,7,153.99796
3,11459.65773262842,2,1,10,1,10,0,843.15973
3,8426.92203262842,1,1,5,12,9,9,292.51556
3,2361.45063262842,1,1,10,1,10,0,1988.4856
3,2629.04513262842,2,1,10,1,10,0,1883.5177
3,10210.88373262842,1,3,10,1,9,0,161.76889
3,7676.32783262842,1,1,10,1,10,0,307.42438
3,5019.55433262842,1,1,8,6,10,0,2893.0154000000002
3,4769.79953262842,2,1,8,2,10,2,2773.7515
3,4413.00703262842,2,1,9,8,5,8,1048.9797
3,6323.02893262842,1,1,10,1,9,0,232.99571
3,3119.63473262842,1,1,9,1,9,0,354.65631
3,7684.55343262842,1,1,8,1,9,4,47.937611
3,4234.61103262842,1,1,10,1,10,0,283.41937
4,15057.315399295088,1,1,7,1,10,0,539.05756
3,5937.71353262842,2,3,9,1,9,0,52.148865
2,1826.26203262842,1,1,8,1,9,0,1908.1045
3,6018.57293262842,1,3,10,11,3,0,435.42044
3,9318.90353262842,1,1,9,1,9,0,368.98105
3,5750.97873262842,2,1,10,9,10,8,759.51318
2,1246.47433262842,1,1,8,3,10,0,89.615219
3,6892.96603262842,1,1,10,7,10,3,187.41045
3,6357.52603262842,1,1,10,1,10,0,107.64954
2,1478.38943262842,2,1,10,1,10,0,115.21341
1,755.13670262842,1,1,10,1,10,0,177.70963
3,5304.98843262842,2,3,5,5,9,8,488.63449
4,19041.49673262842,2,1,10,6,10,7,417.58408
3,3253.43183262842,2,1,10,1,9,0,217.96661
3,2450.6488326284198,2,1,5,9,10,9,439.52866
2,1915.46013262842,2,1,10,1,10,0,2097.8325
3,8872.91223262842,1,1,10,1,10,6,1223.918
3,3413.98843262842,1,1,9,2,10,0,362.83578
1,993.28753262842,1,1,10,1,10,0,287.46909
2,1216.84243262842,1,1,10,11,10,0,183.68048
3,3358.68543262842,1,1,10,1,9,0,127.75555
3,4145.41273262842,1,1,9,1,9,0,80.672928
2,1915.46013262842,2,1,9,1,9,8,495.75342
3,5046.45523262842,2,3,10,1,10,0,170.78055
4,20379.46873262842,1,4,7,11,4,10,853.71521
2,1291.07343262842,2,1,9,1,10,0,455.5528
3,4479.47133262842,2,1,2,9,9,7,185.68642
1,622.08757262842,1,1,10,1,10,0,1243.5363
3,2629.04513262842,1,1,10,1,10,0,202.80127
3,6196.96943262842,1,1,7,7,9,5,536.24902
3,2049.25723262842,2,1,5,1,10,0,816.34192
3,11370.45973262842,2,1,9,1,9,0,1361.0714
3,2700.40353262842,1,1,9,1,10,0,100.07554
3,2093.85633262842,1,1,10,1,9,0,327.53821
3,12173.24273262842,2,1,10,9,10,3,41.7001
3,5626.10123262842,1,3,9,1,9,0,264.82178
3,5269.30923262842,1,1,8,1,9,0,246.43484
3,10969.06873262842,1,1,9,1,9,0,225.60344
3,4708.25503262842,2,3,9,1,9,0,341.20697
3,8186.08713262842,1,1,9,5,9,4,1036.6144
3,13885.84573262842,1,1,10,1,10,0,1294.6442
2,1754.90353262842,1,3,5,9,9,0,75.39312
